,Links
Stock Movement Prediction Based on Bi-typed and Hybrid-relational Market Knowledge Graph via Dual Attention Networks,https://openreview.net/forum?id=nXyXgrVOk8k
Understanding Multimodal Procedural Knowledge by Sequencing Multimodal Instructional Manuals,https://openreview.net/forum?id=8njdjhMeRJY
Learning Tokenization in Private Federated Learning with Sub-Word Model Sampling,https://openreview.net/forum?id=3VsqNuliPR
Sentence-aware Contrastive Learning for Open-Domain Passage Retrieval,https://openreview.net/forum?id=t4RMD0mI_k
The Past Mistake is the Future Wisdom: Error-driven Contrastive Probability Optimization for Chinese Spell Checking,https://openreview.net/forum?id=DW8WNS97jP5
Fine-Grained Controllable Text Generation Using Non-Residual Prompting,https://openreview.net/forum?id=poQNS7GAgBJ
From Context to Text: Utilizing Discourse Semantics  In Chinese Zero Pronoun Resolution,https://openreview.net/forum?id=csNgXsD1tx
Building Chinese Biomedical Language Models via Multi-Level Text Discrimination,https://openreview.net/forum?id=avbPntXOwCW
SiSP: Japanese Situation-dependent Sentiment Polarity Dictionary,https://openreview.net/forum?id=IvllkwwgKc4
Automatic Mining of Salient Events from Multiple Documents,https://openreview.net/forum?id=NtU4muk0bvd
Do We Need to Differentiate Negative Candidates Before Training a Neural Ranker?,https://openreview.net/forum?id=oyCPRgwkf5w
A Self-Adaptive Learning Rate and Curriculum Learning Based Framework for Few-Shot Text Classification,https://openreview.net/forum?id=i-lLDEfPRnG
An asynchronous distributed training algorithm based on Gossip,https://openreview.net/forum?id=9AWwcpDj9fV
Improving Compositional Generalization with Self-Training for Data-to-Text Generation,https://openreview.net/forum?id=QTSlG9lWk8
Computational historical linguistics and language diversity in South Asia,https://openreview.net/forum?id=OKvn1-qwsWA
Models can use keywords to answer questions that human cannot,https://openreview.net/forum?id=RmFZIQVG4XN
LINDA: Unsupervised Learning to Interpolate in Natural Language Processing,https://openreview.net/forum?id=dTE4YtueHaD
BigFive: A Dataset of Coarse- and Fine-Grained Personality Characteristics,https://openreview.net/forum?id=6q-mLPJICaa
Detection of Adversarial Examples in NLP: Benchmark and Baseline via Robust Density Estimation,https://openreview.net/forum?id=GO9vQ8BrJtk
Measuring HLT Research Equality of European Languages,https://openreview.net/forum?id=LgRe_HPmQyv
SummaReranker: A Multi-Task Mixture-of-Experts Re-ranking Framework for Abstractive Summarization,https://openreview.net/forum?id=HT9x1moobfz
FLAP: Table-to-Text Generation with Feature Indication and Numerical Reasoning Pretraining,https://openreview.net/forum?id=j6PUcXtiy75
TextMosaic: A New Data Augmentation Method for Named Entity Recognition Using Document-Level Contexts,https://openreview.net/forum?id=EmJCjwPiH_i
Language Level Classification on German Texts using a Neural Approach,https://openreview.net/forum?id=PQl2HPBGRvW
A New Search Paradigm for Natural Language Code Search,https://openreview.net/forum?id=YeaNQgfFwlQ
Domain-aware Self-supervised Pre-training for Weakly-supervised Meme Analysis,https://openreview.net/forum?id=MS79LypM_jA
E-MMAD: Multimodal Advertising Caption Generation Based on Structured Information,https://openreview.net/forum?id=Xp_pRGHM6F0
Fantastic Questions and Where to Find Them: FairytaleQA--An Authentic Dataset for Narrative Comprehension,https://openreview.net/forum?id=o-LWIbKagke
Question-Led Semantic Structure Enhanced Attentions for VQA,https://openreview.net/forum?id=4X-nUzszhp
Towards a Fine-Grained Multi-Domain Neural Machine Translation Using Inter-Domain Relationships,https://openreview.net/forum?id=GnDf8RijEfl
The Sensitivity of Annotator Bias to Task Definitions,https://openreview.net/forum?id=tSgisvw--5B
A Novel Framework Based on Medical Concept Driven Attention for Explainable Medical Code Prediction via External Knowledge,https://openreview.net/forum?id=syvKAodJ-Gj
Identifying Moments of Change from Longitudinal User Text,https://openreview.net/forum?id=Dwqav13klH3
CONJR: Conjunctive Sentence Splitter without Parsing,https://openreview.net/forum?id=nUcR4c0hg5q
Teaching Models new APIs: Domain-Agnostic Simulators for Task Oriented Dialogue,https://openreview.net/forum?id=3u6rOiXR9RA
Modeling Intensification for Signed Language Generation: A Computational Approach,https://openreview.net/forum?id=whBQ1c5Chd5
A Good Prompt Is Worth Millions of Parameters: Low-resource Prompt-based Learning for Vision-Language Models,https://openreview.net/forum?id=P008p9qTbyO
Revisiting the Compositional Generalization Abilities of Neural Sequence Models,https://openreview.net/forum?id=7lJpG58T5qy
Retrieval-guided Counterfactual Generation for QA,https://openreview.net/forum?id=_9QcfD3L0z
Data Augmentation with Sentence Recombination Method for Semi-supervised Text Classification,https://openreview.net/forum?id=WSxxdJdByLS
More Than Words: Collocation Retokenization for Latent Dirichlet Allocation Models,https://openreview.net/forum?id=Bqm_vhc-d6Y
Blackbird\'s language matrices (BLMs): a new benchmark to investigate disentangled generalisation in neural networks,https://openreview.net/forum?id=KsvzWG8G2kv
Learn to Adapt for Generalized Zero-Shot Text Classification,https://openreview.net/forum?id=2NOSFKxicWQ
Language Model-Guided Knowledge Subgraphs for Question Answering,https://openreview.net/forum?id=ZvJdOe_VUXB
Extreme Multi-label Text Classification with Pseudo Label Descriptions,https://openreview.net/forum?id=IbqvTfZZR7X
S$^2$SQL: Injecting Syntax to Question-Schema Interaction Graph Encoder for Text-to-SQL Parsers,https://openreview.net/forum?id=AhOTf_-zq0I
Chinese Word Attention based on Valid Division of Sentence,https://openreview.net/forum?id=8JHTdpDdzue
Assessing the Coherence Modeling Capabilities of Pretrained Transformer-based Language Models,https://openreview.net/forum?id=NkOTih-TP7T
Break it - Message it - Fix it : Learning to Repair Python Programs using Error Messages without Labelled Data,https://openreview.net/forum?id=84ELWXcppZC
Uncertainty in the Social World and its Interdependence,https://openreview.net/forum?id=hbXoXCc7_8
How to be Helpful on Online Support Forums?,https://openreview.net/forum?id=PMh4S5-FEC
Challenges for Open-domain Targeted Sentiment Analysis,https://openreview.net/forum?id=R--glT8acxR
VQN: Variable Quantization Noise for Neural Network Compression,https://openreview.net/forum?id=VbtRUvpzht
A Cueing Strategy for Prompt Tuning in Relation Extraction,https://openreview.net/forum?id=0a6du8Ebbcm
Skill Induction and Planning with Latent Language,https://openreview.net/forum?id=vJc9FszTpC3
RoMe: A Robust Metric for Evaluating Natural Language Generation,https://openreview.net/forum?id=DP1CWR2fN72
ElitePLM: An Empirical Study on General Language Ability Evaluation of Pretrained Language Models,https://openreview.net/forum?id=vIsNdxqCaoa
Distilling Causal Metaknowledge from Massive Knowledge Graph,https://openreview.net/forum?id=qoGNaYWzdcw
Cross-Task Generalization via Natural Language Crowdsourcing Instructions,https://openreview.net/forum?id=-PQISG-m88j
A Well-Composed Text is Half Done! Semantic Composition Sampling for Diverse Conditional Generation,https://openreview.net/forum?id=539xGPKXgH8
ShrinkNAS : Single-Path One-Shot Operator Exploratory Training for Transformer with Dynamic Space Shrinking,https://openreview.net/forum?id=Ku8v46wIwL
Heterogeneous Language Model Optimization in Automatic Speech Recognition,https://openreview.net/forum?id=GvuDmpDf9Em
Detecting Unassimilated Borrowings in Spanish: An Annotated Corpus and Approaches to Modeling,https://openreview.net/forum?id=-4-movxUMNV
GFDC: Graph Function Dependence for Logically Consistent Dialogue Response Beyond Persona Data,https://openreview.net/forum?id=P3ziO-8tFU
Sparse Fuzzy Attention for Structured Sentiment Analysis,https://openreview.net/forum?id=0AzDYJ0ydie
Make the Best of Cross-lingual Transfer: Evidence from POS Tagging with over 100 Languages,https://openreview.net/forum?id=vI0FX7RY9UH
Direct parsing to sentiment graphs,https://openreview.net/forum?id=3kKspQxVa38
Neighbour Contrastive Learning with Heterogeneous Graph Attention Networks on Short Text Classification,https://openreview.net/forum?id=uMF63VjD7FF
Enhancing Neural Machine Translation with Syntactic Ambiguities,https://openreview.net/forum?id=usdBGTkuuEp
Modeling Multidimensional Language Matrices to Learn Predictive Text,https://openreview.net/forum?id=1-tfgu3G3Ga
A Comparison of the Validity of Measurement Methods for the General English Proficiency through Dictation and Read-Aloud Performances,https://openreview.net/forum?id=kt6-xydKjf
Vec2Node: Self-training with Tensor Augmentation for Text Classification with Few Labels,https://openreview.net/forum?id=xOHDWpBSxfp
DS-TOD: Efficient Domain Specialization for Task-Oriented Dialog,https://openreview.net/forum?id=u-BLrzX2UnV
Speaking Rationally by Gestures: Information Theoretic Insights from Multi-Modal Language Models,https://openreview.net/forum?id=TLDSZl0aq9X
TABi: Type-Aware Bi-encoders for End-to-End Entity Retrieval,https://openreview.net/forum?id=OB-d5avJcBz
What Makes Machine Reading Comprehension Questions Difficult? Investigating Variation in Passage Sources and Question Types,https://openreview.net/forum?id=npVogfg9Vuw
Discontinuous Constituency and BERT: A Case Study of Dutch,https://openreview.net/forum?id=GEBVwhJbvsj
A Graph-to-Sequence Model for Joint Intent Detection and Slot Filling in Task-Oriented Dialogue Systems,https://openreview.net/forum?id=T4q0_LdnUbX
SUPERB-SG: Enhanced Speech processing Universal PERformance Benchmark for Semantic and Generative Capabilities,https://openreview.net/forum?id=u-g1ga9F6e-
Pair-Based Joint Learning with Relational Graph Convolutional Networks for Emotion-Cause Pair Extraction,https://openreview.net/forum?id=rmjhxGnih0E
A Primer in NMTology: What we have understood about NMT,https://openreview.net/forum?id=Vh1wS3tPa0a
BufferSearch: Generating Black-Box Adversarial Texts With Lower Queries,https://openreview.net/forum?id=5mD_WKOwu2
